t,x,y,z,roll,pitch,yaw
2.020896673202514648e+00,-3.857312252577577236e-03,-8.013526868101021605e-03,-6.201585333311637586e-05,4.396183619455805436e-02,3.566087596589337383e-02,1.081845231295445802e-03
2.020932197570800781e+00,-3.857458479595199732e-03,-8.014012795245375673e-03,-6.204099076449039673e-05,4.396168878996766644e-02,3.566090662438745756e-02,1.081882949133791249e-03
2.020967721939086914e+00,-3.857604687327568713e-03,-8.014498805189305963e-03,-6.206619688836334514e-05,4.396174163479692892e-02,3.566081806637819152e-02,1.081844053920092341e-03
2.080299615859985352e+00,-4.062644100780865228e-03,-8.974243899774412767e-03,-1.223883088412874452e-04,4.418045342183089808e-02,3.559029472515638781e-02,1.008148787228002781e-03
2.080379962921142578e+00,-4.062868845968449667e-03,-8.975743984308835396e-03,-1.224944897923685113e-04,4.418071765859655359e-02,3.559092367266822321e-02,1.007999121356645310e-03
2.080411195755004883e+00,-4.062956272083540106e-03,-8.976327109240947108e-03,-1.225357033952106532e-04,4.418094427824292847e-02,3.559096122717041871e-02,1.007895544918722096e-03
2.080435991287231445e+00,-4.063025702886365054e-03,-8.976790021310866383e-03,-1.225683951060912188e-04,4.418092032425554455e-02,3.559093353858376607e-02,1.007916522152499817e-03
2.080461025238037109e+00,-4.063095806216431363e-03,-8.977257353540393781e-03,-1.226013974735382550e-04,4.418088567132716360e-02,3.559089972499469151e-02,1.007861556450829511e-03
2.080483198165893555e+00,-4.063157897363140793e-03,-8.977671245294222002e-03,-1.226306425930039914e-04,4.418087558227202366e-02,3.559084829173347897e-02,1.007801348775729878e-03
2.140540599822998047e+00,-4.241155224850271140e-03,-1.004992186860578784e-02,-2.389226669396136982e-04,4.437061900666568887e-02,3.552562807204825285e-02,9.844665633962084057e-04
2.140625238418579102e+00,-4.241419788238380562e-03,-1.005136428699483254e-02,-2.391389375452989774e-04,4.437037775363723846e-02,3.552581366873620167e-02,9.843037559021414022e-04
2.140660524368286133e+00,-4.241530010331560560e-03,-1.005196569495601412e-02,-2.392291738828185267e-04,4.437037582968304805e-02,3.552575680490986654e-02,9.841896547526504321e-04
2.140692472457885742e+00,-4.241629756507086374e-03,-1.005251030162097534e-02,-2.393108561541198325e-04,4.437033455902886225e-02,3.552587879499732870e-02,9.842239673141482681e-04
2.140724658966064453e+00,-4.241730212302480263e-03,-1.005305906808934627e-02,-2.393931106959298969e-04,4.437035109249176656e-02,3.552600721097992631e-02,9.842121349226289929e-04
2.140756607055664062e+00,-4.241829914896535179e-03,-1.005360383841687709e-02,-2.394747474758152030e-04,4.437047542921371268e-02,3.552597026220160464e-02,9.842688068414473350e-04
2.190677642822265625e+00,-4.470623504212752237e-03,-1.090470348769711356e-02,-3.547545761593259633e-04,4.454478738395362819e-02,3.546941183171174738e-02,9.523895829764400089e-04
2.190741539001464844e+00,-4.471009806569918241e-03,-1.090579253529705070e-02,-3.548864496835652362e-04,4.454471144879673661e-02,3.546942350055991289e-02,9.522472367432705280e-04
2.190768957138061523e+00,-4.471175595931543671e-03,-1.090625977702056743e-02,-3.549430816214480238e-04,4.454471116270369152e-02,3.546952436177845669e-02,9.523111929834256369e-04
2.190793752670288086e+00,-4.471325540226030529e-03,-1.090668226673949422e-02,-3.549943107592750530e-04,4.454484246977390843e-02,3.546952471501921278e-02,9.522990305124277464e-04
2.190816640853881836e+00,-4.471463949931446177e-03,-1.090707222495145359e-02,-3.550415667269363261e-04,4.454484225700092864e-02,3.546959975817683131e-02,9.522406285319105768e-04
2.250643730163574219e+00,-4.800564637245697402e-03,-1.198819641682620681e-02,-4.720936865946753010e-04,4.441184067745846537e-02,3.540685091286127628e-02,1.055699355505322883e-03
2.250687122344970703e+00,-4.800779575695229145e-03,-1.198902543194479628e-02,-4.721739449568471397e-04,4.441173867314572588e-02,3.540684633491975042e-02,1.055736710485668606e-03
2.250700950622558594e+00,-4.800848055484653251e-03,-1.198928964431234846e-02,-4.721995244062566696e-04,4.441169623387086762e-02,3.540684949764613676e-02,1.055741617319771487e-03
2.250713109970092773e+00,-4.800908267907242830e-03,-1.198952198175033852e-02,-4.722220199679993198e-04,4.441170213803386640e-02,3.540686351652750502e-02,1.055738736894741917e-03
2.250724792480468750e+00,-4.800966120524690316e-03,-1.198974521313990113e-02,-4.722436393010791007e-04,4.441173722620503361e-02,3.540686917237003545e-02,1.055729449495022843e-03
2.250736236572265625e+00,-4.801022797828674062e-03,-1.198996388933502161e-02,-4.722648190800511972e-04,4.441181777367348565e-02,3.540684424476749775e-02,1.055750100461780652e-03
2.309947490692138672e+00,-5.171915732894888894e-03,-1.299245265259513053e-02,-4.652230853849164370e-04,4.461171087130535312e-02,3.539971971395684119e-02,9.537074466866529796e-04
2.309992074966430664e+00,-5.172253456833949062e-03,-1.299311032860276001e-02,-4.651299194673470935e-04,4.461166021851085267e-02,3.539980227622199771e-02,9.537169859306425350e-04
2.310005664825439453e+00,-5.172356402151326478e-03,-1.299331076498469809e-02,-4.651015040827453711e-04,4.461161538547108590e-02,3.539981201538908856e-02,9.537221861646401821e-04
2.310018062591552734e+00,-5.172450319607437182e-03,-1.299349361298724435e-02,-4.650755801132839228e-04,4.461156053945650179e-02,3.539978707355672521e-02,9.537442193950684865e-04
2.310029745101928711e+00,-5.172538817062835755e-03,-1.299366591485114943e-02,-4.650511541197816239e-04,4.461152420778449063e-02,3.539975519783240820e-02,9.537530644718532043e-04
2.310041427612304688e+00,-5.172627311825997269e-03,-1.299383822538751308e-02,-4.650267353542661430e-04,4.461152342400911269e-02,3.539973838219258317e-02,9.537415014682288413e-04
2.360843181610107422e+00,-5.538280086579542606e-03,-1.387456334469954269e-02,-3.714737213144692941e-04,4.496877507092372078e-02,3.536678140664295533e-02,9.661340197006590760e-04
2.360889196395874023e+00,-5.538593905798200843e-03,-1.387548019661744535e-02,-3.714003309003262115e-04,4.496885054658812664e-02,3.536673493825592818e-02,9.661422932845751405e-04
2.360902786254882812e+00,-5.538686582169382276e-03,-1.387575100381921792e-02,-3.713786304913440912e-04,4.496885957655834959e-02,3.536671989784036935e-02,9.661167671969508701e-04
2.360915422439575195e+00,-5.538772757468865375e-03,-1.387600280552237116e-02,-3.713584549585038854e-04,4.496886946647303540e-02,3.536672643746838901e-02,9.661427291323185619e-04
2.360926866531372070e+00,-5.538850805740188656e-03,-1.387623084781417632e-02,-3.713401877304876278e-04,4.496890094842374841e-02,3.536674264199456824e-02,9.661444824671497258e-04
2.419939041137695312e+00,-6.000203914237364593e-03,-1.502109038108954270e-02,-2.501497588254585980e-04,4.473710680803100886e-02,3.542948858782130062e-02,8.917114080107175524e-04
2.419981479644775391e+00,-6.000578068802724270e-03,-1.502189129218386467e-02,-2.500432497901147852e-04,4.473696831353892595e-02,3.542942304031782702e-02,8.918881036590160186e-04
2.419996261596679688e+00,-6.000708401821411644e-03,-1.502217022416243476e-02,-2.500061731559833581e-04,4.473704584169804765e-02,3.542942245802653545e-02,8.919025492151508696e-04
2.420008659362792969e+00,-6.000817713693982688e-03,-1.502240416460663176e-02,-2.499750719788720182e-04,4.473699486982656709e-02,3.542942077297591558e-02,8.918748641572380289e-04
2.420020341873168945e+00,-6.000920714809004387e-03,-1.502262461413472402e-02,-2.499457587409300630e-04,4.473693000785733398e-02,3.542936659468307048e-02,8.918699949117946547e-04
2.420031785964965820e+00,-6.001021606932793566e-03,-1.502284057562282456e-02,-2.499170425725782746e-04,4.473688608136600076e-02,3.542935614468147726e-02,8.918561001058475553e-04
